Type,N,Algorithm,Time_ms,CharCmp
Reversed,500,StringMergeSort,0.425625,6191
Reversed,500,MSDRadixSort,0.74815,0
Reversed,500,MSDRadix+Quick,0.385967,8644
Reversed,600,StdQuickSort,0.119008,3178
Reversed,600,StdMergeSort,0.364658,5626
Reversed,600,3WayQuickSort,0.41875,12461
Reversed,600,StringMergeSort,0.533267,7871
Reversed,600,MSDRadixSort,0.855975,0
Reversed,600,MSDRadix+Quick,0.461967,10017
Reversed,700,StdQuickSort,0.136133,3742
Reversed,700,StdMergeSort,0.432166,7034
Reversed,700,3WayQuickSort,0.547767,15656
Reversed,700,StringMergeSort,0.63975,9434
Reversed,700,MSDRadixSort,1.04688,0
Reversed,700,MSDRadix+Quick,0.569708,11559
Reversed,800,StdQuickSort,0.182617,4190
Reversed,800,StdMergeSort,0.513591,8477
Reversed,800,3WayQuickSort,0.66175,19155
Reversed,800,StringMergeSort,0.748908,10804
Reversed,800,MSDRadixSort,1.21307,0
Reversed,800,MSDRadix+Quick,0.617984,13331
Reversed,900,StdQuickSort,0.171467,4461
Reversed,900,StdMergeSort,0.607267,10020
Reversed,900,3WayQuickSort,0.77085,22643
Reversed,900,StringMergeSort,0.845284,12080
Reversed,900,MSDRadixSort,1.32331,0
Reversed,900,MSDRadix+Quick,0.688358,15037
Reversed,1000,StdQuickSort,0.248825,6520
Reversed,1000,StdMergeSort,0.71925,11901
Reversed,1000,3WayQuickSort,0.906617,26932
Reversed,1000,StringMergeSort,0.926242,13301
Reversed,1000,MSDRadixSort,1.4804,0
Reversed,1000,MSDRadix+Quick,0.756675,16672
Reversed,1100,StdQuickSort,0.270275,7030
Reversed,1100,StdMergeSort,0.711292,11038
Reversed,1100,3WayQuickSort,1.02212,30353
Reversed,1100,StringMergeSort,1.03864,15152
Reversed,1100,MSDRadixSort,1.62271,0
Reversed,1100,MSDRadix+Quick,0.839934,18435
Reversed,1200,StdQuickSort,0.290908,7790
Reversed,1200,StdMergeSort,0.720083,10513
Reversed,1200,3WayQuickSort,1.14403,34015
Reversed,1200,StringMergeSort,1.15386,16945
Reversed,1200,MSDRadixSort,1.76287,0
Reversed,1200,MSDRadix+Quick,0.946792,20159
Reversed,1300,StdQuickSort,0.3148,8013
Reversed,1300,StdMergeSort,0.813008,11508
Reversed,1300,3WayQuickSort,1.389,40403
Reversed,1300,StringMergeSort,1.25827,18580
Reversed,1300,MSDRadixSort,1.94347,0
Reversed,1300,MSDRadix+Quick,0.995133,21980
Reversed,1400,StdQuickSort,0.34245,9254
Reversed,1400,StdMergeSort,0.857225,12611
Reversed,1400,3WayQuickSort,1.47003,43569
Reversed,1400,StringMergeSort,1.37192,20319
Reversed,1400,MSDRadixSort,2.20982,0
Reversed,1400,MSDRadix+Quick,1.10487,23975
Reversed,1500,StdQuickSort,0.378709,9538
Reversed,1500,StdMergeSort,1.0176,13424
Reversed,1500,3WayQuickSort,1.66398,48968
Reversed,1500,StringMergeSort,1.53887,21712
Reversed,1500,MSDRadixSort,2.24813,0
Reversed,1500,MSDRadix+Quick,1.18276,25650
Reversed,1600,StdQuickSort,0.382325,9878
Reversed,1600,StdMergeSort,1.00599,14575
Reversed,1600,3WayQuickSort,1.81565,53200
Reversed,1600,StringMergeSort,1.58064,23221
Reversed,1600,MSDRadixSort,2.36719,0
Reversed,1600,MSDRadix+Quick,1.23111,26994
Reversed,1700,StdQuickSort,0.409075,10657
Reversed,1700,StdMergeSort,1.06883,15920
Reversed,1700,3WayQuickSort,2.00749,59161
Reversed,1700,StringMergeSort,1.68655,24791
Reversed,1700,MSDRadixSort,2.58228,0
Reversed,1700,MSDRadix+Quick,1.35693,28550
Reversed,1800,StdQuickSort,0.429325,10634
Reversed,1800,StdMergeSort,1.17883,16981
Reversed,1800,3WayQuickSort,2.35431,64865
Reversed,1800,StringMergeSort,1.78965,25986
Reversed,1800,MSDRadixSort,2.74439,0
Reversed,1800,MSDRadix+Quick,1.47287,29912
Reversed,1900,StdQuickSort,0.473167,11521
Reversed,1900,StdMergeSort,1.26588,18228
Reversed,1900,3WayQuickSort,2.54013,71698
Reversed,1900,StringMergeSort,1.96361,27421
Reversed,1900,MSDRadixSort,2.91527,0
Reversed,1900,MSDRadix+Quick,1.43635,31420
Reversed,2000,StdQuickSort,0.472617,11952
Reversed,2000,StdMergeSort,1.28993,19301
Reversed,2000,3WayQuickSort,2.63948,77569
Reversed,2000,StringMergeSort,1.99934,28555
Reversed,2000,MSDRadixSort,2.95985,0
Reversed,2000,MSDRadix+Quick,1.515,33129
Reversed,2100,StdQuickSort,0.483042,12149
Reversed,2100,StdMergeSort,1.36869,20615
Reversed,2100,3WayQuickSort,2.77997,81813
Reversed,2100,StringMergeSort,2.10742,30245
Reversed,2100,MSDRadixSort,3.08335,0
Reversed,2100,MSDRadix+Quick,1.59781,34809
Reversed,2200,StdQuickSort,0.5199,12784
Reversed,2200,StdMergeSort,1.4771,22126
Reversed,2200,3WayQuickSort,3.08252,88615
Reversed,2200,StringMergeSort,2.24478,32376
Reversed,2200,MSDRadixSort,3.20933,0
Reversed,2200,MSDRadix+Quick,1.68074,36541
Reversed,2300,StdQuickSort,0.547367,13270
Reversed,2300,StdMergeSort,1.54623,23469
Reversed,2300,3WayQuickSort,3.34283,96698
Reversed,2300,StringMergeSort,2.42276,34251
Reversed,2300,MSDRadixSort,3.37943,0
Reversed,2300,MSDRadix+Quick,1.80672,38109
Reversed,2400,StdQuickSort,0.55605,14279
Reversed,2400,StdMergeSort,1.61143,24861
Reversed,2400,3WayQuickSort,3.47629,102670
Reversed,2400,StringMergeSort,2.47605,36237
Reversed,2400,MSDRadixSort,3.50282,0
Reversed,2400,MSDRadix+Quick,1.81519,39820
Reversed,2500,StdQuickSort,0.576517,14909
Reversed,2500,StdMergeSort,1.68702,26137
Reversed,2500,3WayQuickSort,3.81864,110561
Reversed,2500,StringMergeSort,2.74765,38015
Reversed,2500,MSDRadixSort,3.73479,0
Reversed,2500,MSDRadix+Quick,1.91675,41497
Reversed,2600,StdQuickSort,0.622275,15231
Reversed,2600,StdMergeSort,1.83252,27360
Reversed,2600,3WayQuickSort,4.06777,119638
Reversed,2600,StringMergeSort,2.71786,39577
Reversed,2600,MSDRadixSort,3.77461,0
Reversed,2600,MSDRadix+Quick,1.96747,43335
Reversed,2700,StdQuickSort,0.625592,16087
Reversed,2700,StdMergeSort,1.87425,29076
Reversed,2700,3WayQuickSort,4.32594,127793
Reversed,2700,StringMergeSort,2.97359,41450
Reversed,2700,MSDRadixSort,4.05117,0
Reversed,2700,MSDRadix+Quick,2.19435,44929
Reversed,2800,StdQuickSort,0.686783,16350
Reversed,2800,StdMergeSort,2.10813,30859
Reversed,2800,3WayQuickSort,4.62986,134351
Reversed,2800,StringMergeSort,2.94195,43309
Reversed,2800,MSDRadixSort,4.0656,0
Reversed,2800,MSDRadix+Quick,2.12207,46294
Reversed,2900,StdQuickSort,0.677342,17086
Reversed,2900,StdMergeSort,2.06977,32415
Reversed,2900,3WayQuickSort,4.80925,142340
Reversed,2900,StringMergeSort,3.03846,44978
Reversed,2900,MSDRadixSort,4.25728,0
Reversed,2900,MSDRadix+Quick,2.26125,47845
Reversed,3000,StdQuickSort,0.687342,17492
Reversed,3000,StdMergeSort,2.14277,33754
Reversed,3000,3WayQuickSort,5.31139,151125
Reversed,3000,StringMergeSort,3.36377,46323
Reversed,3000,MSDRadixSort,4.49336,0
Reversed,3000,MSDRadix+Quick,2.27924,49802
NearlySorted,100,StdQuickSort,0.0847002,3641
NearlySorted,100,StdMergeSort,0.0456166,717
NearlySorted,100,3WayQuickSort,0.0416334,1701
NearlySorted,100,StringMergeSort,0.0751332,1146
NearlySorted,100,MSDRadixSort,0.153917,0
NearlySorted,100,MSDRadix+Quick,0.0476668,1174
NearlySorted,200,StdQuickSort,0.172675,6815
NearlySorted,200,StdMergeSort,0.0937838,1514
NearlySorted,200,3WayQuickSort,0.0919668,3739
NearlySorted,200,StringMergeSort,0.17075,2697
NearlySorted,200,MSDRadixSort,0.28795,0
NearlySorted,200,MSDRadix+Quick,0.0897248,2286
NearlySorted,300,StdQuickSort,0.302575,12228
NearlySorted,300,StdMergeSort,0.176075,2577
NearlySorted,300,3WayQuickSort,0.14445,5918
NearlySorted,300,StringMergeSort,0.273833,4329
NearlySorted,300,MSDRadixSort,0.418975,0
NearlySorted,300,MSDRadix+Quick,0.128,3302
NearlySorted,400,StdQuickSort,0.42285,17422
NearlySorted,400,StdMergeSort,0.244542,3704
NearlySorted,400,3WayQuickSort,0.215242,8953
NearlySorted,400,StringMergeSort,0.390967,6336
NearlySorted,400,MSDRadixSort,0.562217,0
NearlySorted,400,MSDRadix+Quick,0.1677,4173
NearlySorted,500,StdQuickSort,0.540467,22201
NearlySorted,500,StdMergeSort,0.307717,4724
NearlySorted,500,3WayQuickSort,0.283475,11999
NearlySorted,500,StringMergeSort,0.507317,8409
NearlySorted,500,MSDRadixSort,0.722183,0
NearlySorted,500,MSDRadix+Quick,0.20985,5227
NearlySorted,600,StdQuickSort,0.6431,25620
NearlySorted,600,StdMergeSort,0.371759,5794
NearlySorted,600,3WayQuickSort,0.361692,15359
NearlySorted,600,StringMergeSort,0.625408,10241
NearlySorted,600,MSDRadixSort,0.853358,0
NearlySorted,600,MSDRadix+Quick,0.253983,6415
NearlySorted,700,StdQuickSort,0.771266,29849
NearlySorted,700,StdMergeSort,0.440958,6978
NearlySorted,700,3WayQuickSort,0.428217,17415
NearlySorted,700,StringMergeSort,0.754125,12440
NearlySorted,700,MSDRadixSort,1.00352,0
NearlySorted,700,MSDRadix+Quick,0.299383,7529
NearlySorted,800,StdQuickSort,0.875867,34599
NearlySorted,800,StdMergeSort,0.512517,8158
NearlySorted,800,3WayQuickSort,0.512342,21448
NearlySorted,800,StringMergeSort,0.882267,14662
NearlySorted,800,MSDRadixSort,1.13912,0
NearlySorted,800,MSDRadix+Quick,0.345825,8657
